Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Engineering Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-25693-7,Danny WeynsViviana MascardiAlessandro Ricci,2019,https://link.springer.com/book/10.1007/978-3-030-25693-7,Conference proceedings
Industrial Applications of Holonic and Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-27878-6,Vladimír MaříkPetr KaderaGeorge RzevskiAlois ZoitlGabriele Anderst-KotsisA Min TjoaIsmail Khalil,2019,https://link.springer.com/book/10.1007/978-3-030-27878-6,Conference proceedings
Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-14174-5,Marija Slavkovik,2019,https://link.springer.com/book/10.1007/978-3-030-14174-5,Conference proceedings
Empathic Autonomous Agents,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-25693-7_10,Timotheus KampikJuan Carlos NievesHelena Lindgren,2019,https://link.springer.com/chapter/10.1007/978-3-030-25693-7_10,Conference paper
Engineering Multi-agent Systems Anno 2025,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-25693-7_1,Viviana MascardiDanny Weyns,2019,https://link.springer.com/chapter/10.1007/978-3-030-25693-7_1,Conference paper
Massively Multi-Agent Systems II,Lecture Notes in Computer Science,,,,10.1007/978-3-030-20937-7,Donghui LinToru IshidaFranco ZambonelliItsuki Noda,2019,https://link.springer.com/book/10.1007/978-3-030-20937-7,Conference proceedings
Engineering World-Wide Multi-Agent Systems with Hypermedia,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-25693-7_15,Andrei CiorteaOlivier BoissierAlessandro Ricci,2019,https://link.springer.com/chapter/10.1007/978-3-030-25693-7_15,Conference paper
iStar4RationalAgents: Modeling Requirements of Multi-agent Systems with Rational Agents,Conceptual Modeling,,,,10.1007/978-3-030-33223-5_46,Enyo GonçalvesJoão AraujoJaelson Castro,2019,https://link.springer.com/chapter/10.1007/978-3-030-33223-5_46,Conference paper
Combining Probabilistic Contexts in Multi-Agent Systems,Modeling and Using Context,,,,10.1007/978-3-030-34974-5_17,Livia Predoiu,2019,https://link.springer.com/chapter/10.1007/978-3-030-34974-5_17,Conference paper
A formal framework for reasoning about opportunistic propensity in multi-agent systems,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-019-09413-1,Jieting LuoJohn-Jules MeyerMax Knobbout,2019,https://link.springer.com/article/10.1007/s10458-019-09413-1,Article
