Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Software Architecture,Lecture Notes in Computer Science,,,,10.1007/978-3-031-15116-3,Patrizia ScandurraMatthias GalsterRaffaela MirandolaDanny Weyns,2022,https://link.springer.com/book/10.1007/978-3-031-15116-3,Conference proceedings
A smart IoT-based irrigation system design using AI and prediction model,Neural Computing and Applications,,,,10.1007/s00521-023-08987-y,Faeze BehzadipourMahmod Ghasemi Nezhad RaeiniSaman Abdanan MehdizadehMorteza TakiBijan Khalil MoghadamMohammad Reza Zare BavaniJaime Lloret,2023,https://link.springer.com/article/10.1007/s00521-023-08987-y,Article
From Acquiring to&#xa0;Suggesting DL Design Choices with&#xa0;Agility: A&#xa0;System Design,Research Challenges in Information Science,,,,10.1007/978-3-031-92471-2_15,Gustavo Rodrigues dos ReisMario Cortes CornaxAdrian MosCyril Labbé,2025,https://link.springer.com/chapter/10.1007/978-3-031-92471-2_15,Conference paper
Beyond One-Fits-All: A Case Study Approach to&#xa0;AI System Design Methods,Advances in Conceptual Modeling,,,,10.1007/978-3-031-75599-6_3,Sabine JanzenHannah Stein,2025,https://link.springer.com/chapter/10.1007/978-3-031-75599-6_3,Conference paper
Fostering Novice Collaboration in&#xa0;ML-Based System Design Through Visual Languages and&#xa0;Touch Interfaces,End-User Development,,,,10.1007/978-3-031-95452-8_7,Serena VersinoTommaso TurchiAlessio MaliziaGiuseppe Riva,2025,https://link.springer.com/chapter/10.1007/978-3-031-95452-8_7,Conference paper
Software Architecture,Lecture Notes in Computer Science,,,,10.1007/978-3-030-58923-3,Anton JansenIvano MalavoltaHenry MucciniIpek OzkayaOlaf Zimmermann,2020,https://link.springer.com/book/10.1007/978-3-030-58923-3,Conference proceedings
Software Architecture,Communications in Computer and Information Science,,,,10.1007/978-3-030-59155-7,Henry MucciniParis AvgeriouBarbora BuhnovaJavier CamaraMauro CaporuscioMirco FranzagoAnne KoziolekPatrizia ScandurraCatia TrubianiDanny WeynsUwe Zdun,2020,https://link.springer.com/book/10.1007/978-3-030-59155-7,Conference proceedings
Human-Machine Learning Approach for Ejection System Design in Injection Molds,Artificial Intelligence in HCI,,,,10.1007/978-3-031-35894-4_39,Johanna LauwigiRobert JungnickelDaniel Lütticke,2023,https://link.springer.com/chapter/10.1007/978-3-031-35894-4_39,Conference paper
Harmonizing Emotions: An AI-Driven Sound Therapy System Design for Enhancing Mental Health of Older Adults,Artificial Intelligence in HCI,,,,10.1007/978-3-031-60615-1_30,Yichao ShiChangda MaChunlan WangTianrun WuXinyan Jiang,2024,https://link.springer.com/chapter/10.1007/978-3-031-60615-1_30,Conference paper
Harnessing Large Language Models for&#xa0;Automatic Evaluation of&#xa0;Mobile Health Applications Based on&#xa0;Persuasive System Design Principles and&#xa0;Mobile Application Rating Scale,Persuasive Technology,,,,10.1007/978-3-031-58226-4_1,Yasin AfşinTuğba Taşkaya Temizel,2024,https://link.springer.com/chapter/10.1007/978-3-031-58226-4_1,Conference paper
Do Designers Generate Ideas Better with a Team of Specialized AI Agents or a General AI Agent?,Cross-Cultural Design,,,,10.1007/978-3-031-93733-0_12,Yuxiang ChenYue ChenYu HanYudi Zhou,2025,https://link.springer.com/chapter/10.1007/978-3-031-93733-0_12,Conference paper
Simulation of system architectures using optimization and machine learning: the state of the art and research opportunities,Software and Systems Modeling,,,,10.1007/s10270-025-01280-7,Wallace ManzanoValdemar Vicente Graciano NetoThiago BianchiMohamad KassabElisa Yumi Nakagawa,2025,https://link.springer.com/article/10.1007/s10270-025-01280-7,Article
Services Computing – SCC 2024,Lecture Notes in Computer Science,,,,10.1007/978-3-031-77000-5,Sheng HeLiang-Jie Zhang,2024,https://link.springer.com/book/10.1007/978-3-031-77000-5,Conference proceedings
Designing an&#xa0;Adaptive AI System for&#xa0;Operation on&#xa0;Board the&#xa0;SpIRIT Nano-Satellite,AI 2024: Advances in Artificial Intelligence,,,,10.1007/978-981-96-0348-0_24,Zaher JoukhadarJonathan MorganChristopher BaylissMiguel Ortiz del CastilloJack McRobbieRobert MearnsKrista A. EhingerBenjamin I. P. RubinsteinRichard O. SinnottMichele TrentiJames Bailey,2025,https://link.springer.com/chapter/10.1007/978-981-96-0348-0_24,Conference paper
Services Computing – SCC 2023,Lecture Notes in Computer Science,,,,10.1007/978-3-031-51674-0,Min LuoLiang-Jie Zhang,2024,https://link.springer.com/book/10.1007/978-3-031-51674-0,Conference proceedings
Software Fault Prediction Using ML Algorithms,"Proceedings of the 5th International Conference on Data Science, Machine Learning and Applications; Volume 1",,,,10.1007/978-981-97-8031-0_109,T. NehaM. AnushaD. Anusha,2025,https://link.springer.com/chapter/10.1007/978-981-97-8031-0_109,Conference paper
Addressing corrigibility in near-future AI systems,AI and Ethics,,,,10.1007/s43681-024-00484-9,Erez Firt,2024,https://link.springer.com/article/10.1007/s43681-024-00484-9,Article
Reflective Artificial Intelligence,Minds and Machines,,,,10.1007/s11023-024-09664-2,Peter R. LewisŞtefan Sarkadi,2024,https://link.springer.com/article/10.1007/s11023-024-09664-2,Article
swDarknet: A Heterogeneous Parallel Deep Learning Framework Suitable for&#xa0;SW26010 Pro Processor,Network and Parallel Computing,,,,10.1007/978-981-96-2830-8_13,Huazeng LiuMin TianXiaoming WuMeihong YangZenghui RenYanlong Li,2025,https://link.springer.com/chapter/10.1007/978-981-96-2830-8_13,Conference paper
On the effectiveness of log representation for log-based anomaly detection,Empirical Software Engineering,,,,10.1007/s10664-023-10364-1,Xingfang WuHeng LiFoutse Khomh,2023,https://link.springer.com/article/10.1007/s10664-023-10364-1,Article
Machine Learning Update Strategies for&#xa0;Real-Time Production Environments,Computer Aided Systems Theory – EUROCAST 2024,,,,10.1007/978-3-031-83885-9_2,Philipp NeuhauserPhilipp FleckSebastian LeitnerStefan Wagner,2025,https://link.springer.com/chapter/10.1007/978-3-031-83885-9_2,Conference paper
SinfonIA Uniandes: Winning Team of&#xa0;the&#xa0;RoboCup@Home Social Standard Platform League 2024,RoboCup 2024: Robot World Cup XXVII,,,,10.1007/978-3-031-85859-8_46,David CuevasLuccas Rojas,2025,https://link.springer.com/chapter/10.1007/978-3-031-85859-8_46,Conference paper
General information metrics for improving AI model training efficiency,Artificial Intelligence Review,,,,10.1007/s10462-025-11281-z,Jianfeng XuCongcong LiuXiaoying TanXiaojie ZhuAnpeng WuHuan WanWeijun KongChun LiHu XuKun KuangFei Wu,2025,https://link.springer.com/article/10.1007/s10462-025-11281-z,Article
Ivy: A Hybrid Knowledge-Based and&#xa0;Generative AI Coach for&#xa0;Explaining Procedural Skills,Artificial Intelligence in Education,,,,10.1007/978-3-031-98417-4_17,Rahul K. DassRochan H. MadhusudhanaErin C. DeyeShashank VermaTimothy A. BydlonGrace BrazilAshok K. Goel,2025,https://link.springer.com/chapter/10.1007/978-3-031-98417-4_17,Conference paper
Information and Communication Technologies,Communications in Computer and Information Science,,,,10.1007/978-3-031-18272-3,Jorge Herrera-TapiaGermania Rodriguez-MoralesEfraín R. Fonseca C.Santiago Berrezueta-Guzman,2022,https://link.springer.com/book/10.1007/978-3-031-18272-3,Conference proceedings
A Design Pattern Based Forecasting Model for Predicting Time Series Data in Kaggle Ecosystem,"Computational Intelligence, Cyber Security and Computational Models. Emerging Trends in Computational Models, Intelligence and Security Systems",,,,10.1007/978-3-031-88297-5_4,Naman BhargavaB. MalarG. Priyalakshmi,2025,https://link.springer.com/chapter/10.1007/978-3-031-88297-5_4,Conference paper
Best Practices in Teaching Digitization and Process Automation - A Case Study of Warsaw University of Technology,Computational Science – ICCS 2025 Workshops,,,,10.1007/978-3-031-97573-8_17,Wojtachnik RobertGavkalova NataliiaKrawiec JerzyMartin John,2025,https://link.springer.com/chapter/10.1007/978-3-031-97573-8_17,Conference paper
Using a&#xa0;LLM-Based Conversational Agent in&#xa0;the&#xa0;Social Robot Mini,Artificial Intelligence in HCI,,,,10.1007/978-3-031-60615-1_2,Iván Esteban-LozanoÁlvaro Castro-GonzálezPaloma Martínez,2024,https://link.springer.com/chapter/10.1007/978-3-031-60615-1_2,Conference paper
Continuous design control for machine learning in certified medical systems,Software Quality Journal,,,,10.1007/s11219-022-09601-5,Vlad StirbuTuomas GranlundTommi Mikkonen,2022,https://link.springer.com/article/10.1007/s11219-022-09601-5,Article
Towards Specifying and Evaluating the Trustworthiness of an AI-enabled System,ITNG 2023 20th International Conference on Information Technology-New Generations,,,,10.1007/978-3-031-28332-1_22,Mark ArinaitweHassan Reza,2023,https://link.springer.com/chapter/10.1007/978-3-031-28332-1_22,Conference paper
Quality Assessment and Assurance of Machine Learning Systems: A Comprehensive Approach,"Information and Communication Technologies in Education, Research, and Industrial Applications",,,,10.1007/978-3-031-48325-7_20,Yurii SholomiiVitaliy Yakovyna,2023,https://link.springer.com/chapter/10.1007/978-3-031-48325-7_20,Conference paper
State of the Practice Survey: Predicting the Influence of AI Adoption on System Software Architecture in Traditional Embedded Systems,Software Architecture,,,,10.1007/978-3-030-59155-7_12,Jasmin JahićRobin Roitsch,2020,https://link.springer.com/chapter/10.1007/978-3-030-59155-7_12,Conference paper
Towards designing a generic and comprehensive deep reinforcement learning framework,Applied Intelligence,,,,10.1007/s10489-022-03550-z,Ngoc Duy NguyenThanh Thi NguyenNhat Truong PhamHai NguyenDang Tu NguyenThanh Dang NguyenChee Peng LimMichael JohnstoneAsim BhattiDouglas CreightonSaeid Nahavandi,2022,https://link.springer.com/article/10.1007/s10489-022-03550-z,Article
User Perception and Evaluation of a Portrait Drawn by KUKA KR3 AGILUS Manipulator,Interactive Collaborative Robotics,,,,10.1007/978-3-031-71360-6_4,Aidar ZagirovElvira ChebotarevaSergey OsokinHongbing LiEvgeni Magid,2024,https://link.springer.com/chapter/10.1007/978-3-031-71360-6_4,Conference paper
How AI can Advance Model Driven Engineering Method ?,Intelligent Systems and Pattern Recognition,,,,10.1007/978-3-031-46338-9_9,Mohamad Suhairi Md SubhiWillem NicolasAkina RenardGabriela Maria Garcia RomeroMeriem OuederniLotfi Chaari,2024,https://link.springer.com/chapter/10.1007/978-3-031-46338-9_9,Conference paper
Biomimetic and Biohybrid Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-031-72597-5,Nicholas S. SzczecinskiVictoria Webster-WoodMatthew TreschWilliam R. P. NourseAnna MuraRoger D. Quinn,2024,https://link.springer.com/book/10.1007/978-3-031-72597-5,Conference proceedings
Personalized Learning of&#xa0;Programming Fundamentals Through Robotic Simulations,AI in Education and Educational Research,,,,10.1007/978-3-031-93409-4_13,Antonio LeisAlma MalloSara Guerreiro-SantallaAlejandro Paz-LópezFrancisco Bellas,2025,https://link.springer.com/chapter/10.1007/978-3-031-93409-4_13,Conference paper
Design and Implementation of CNN-Based DTTB Image Intelligent Fault Diagnosis Platform,Applied Intelligence,,,,10.1007/978-981-97-0827-7_11,Qian WeiXianbin XieLong Yu,2024,https://link.springer.com/chapter/10.1007/978-981-97-0827-7_11,Conference paper
Continuous Integration of&#xa0;Neural Networks in&#xa0;Autonomous Systems,Engineering of Computer-Based Systems,,,,10.1007/978-3-031-49252-5_21,Bruno SteffenJonas ZohrenUtku PazarciFiona KullmannHendrik Weißenfels,2024,https://link.springer.com/chapter/10.1007/978-3-031-49252-5_21,Conference paper
"Machine Learning and Soft Computing ",Communications in Computer and Information Science,,,,10.1007/978-981-96-6400-9,Letian Huang,2025,https://link.springer.com/book/10.1007/978-981-96-6400-9,Conference proceedings
Facial Emotion Recognition with AI,Human-Computer Interaction,,,,10.1007/978-3-031-57982-0_14,Jesús A. BallesterosGabriel M. Ramírez V.Fernando MoreiraAndrés SolanoCarlos Alberto Pelaez,2024,https://link.springer.com/chapter/10.1007/978-3-031-57982-0_14,Conference paper
Advances in Artificial Intelligence and Machine Learning,Lecture Notes in Electrical Engineering,,,,10.1007/978-981-97-9507-9,Gaurav RajBhuvan UnhelkerAnkur Choudhary,2025,https://link.springer.com/book/10.1007/978-981-97-9507-9,Conference proceedings
High-Level Petri Nets for Modeling Cyber-Physical Multi-Agent Systems,Technological Innovation for AI-Powered Cyber-Physical Systems,,,,10.1007/978-3-031-97051-1_18,Rui GuerreiroJoão Paulo BarrosLuís Gomes,2025,https://link.springer.com/chapter/10.1007/978-3-031-97051-1_18,Conference paper
Using Large Language Models for&#xa0;the&#xa0;Enforcement of&#xa0;Consumer Rights in&#xa0;Germany,Digital Transformation,,,,10.1007/978-3-031-43590-4_1,Lukas WaidelichMarian LambertZina Al-WashashSteffen KroschwaldThomas SchusterNico Döring,2023,https://link.springer.com/chapter/10.1007/978-3-031-43590-4_1,Conference paper
Exploring the Role of Trust During Human-AI Collaboration in Managerial Decision-Making Processes,HCI International 2022 – Late Breaking Papers: Interacting with eXtended Reality and Artificial Intelligence,,,,10.1007/978-3-031-21707-4_39,Serdar TuncerAlejandro Ramirez,2022,https://link.springer.com/chapter/10.1007/978-3-031-21707-4_39,Conference paper
Generating adaptation rule-specific neural networks,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-023-00725-y,Tomáš BurešPetr HnětynkaMartin KrulišFrantišek PlášilDanylo KhalyeyevSebastian HahnerStephan SeifermannMaximilian WalterRobert Heinrich,2023,https://link.springer.com/article/10.1007/s10009-023-00725-y,Article
Knowledge-enhanced software refinement: leveraging reinforcement learning for search-based quality engineering,Automated Software Engineering,,,,10.1007/s10515-024-00456-7,Maryam Nooraei Abadeh,2024,https://link.springer.com/article/10.1007/s10515-024-00456-7,Article
Optimized Machine Learning Input for&#xa0;Evolutionary Source Code to&#xa0;Architecture Mapping,Software Architecture. ECSA 2022 Tracks and Workshops,,,,10.1007/978-3-031-36889-9_28,Tobias OlssonMorgan EricssonAnna Wingkvist,2023,https://link.springer.com/chapter/10.1007/978-3-031-36889-9_28,Conference paper
Application of Classification Mining Technology Based on Decision Tree in Student Resource Management,"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",,,,10.1007/978-3-031-23950-2_17,Hongting Li,2023,https://link.springer.com/chapter/10.1007/978-3-031-23950-2_17,Conference paper
An Analysis of&#xa0;MLOps Architectures: A Systematic Mapping Study,Software Architecture,,,,10.1007/978-3-031-70797-1_5,Faezeh Amou NajafabadiJustus BognerIlias GerostathopoulosPatricia Lago,2024,https://link.springer.com/chapter/10.1007/978-3-031-70797-1_5,Conference paper
Evolution of the continuous integration of neural networks in autonomous systems,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00799-w,Bruno SteffenLeonard SondermannLukas Schütz,2025,https://link.springer.com/article/10.1007/s10009-025-00799-w,Article
A Secure Self-Adaptive System in Applications of Cognitive Computing,Applied Cognitive Computing and Artificial Intelligence,,,,10.1007/978-3-031-85628-0_6,Yong-Kyu Jung,2025,https://link.springer.com/chapter/10.1007/978-3-031-85628-0_6,Conference paper
ML-Enabled Systems Model Deployment and&#xa0;Monitoring: Status Quo and&#xa0;Problems,Software Quality as a Foundation for Security,,,,10.1007/978-3-031-56281-5_7,Eduardo ZimelewiczMarcos KalinowskiDaniel MendezGörkem GirayAntonio Pedro Santos AlvesNiklas LavessonKelly AzevedoHugo VillamizarTatiana EscovedoHelio LopesStefan BifflJuergen MusilMichael FeldererStefan WagnerTeresa BaldassarreTony Gorschek,2024,https://link.springer.com/chapter/10.1007/978-3-031-56281-5_7,Conference paper
A Retrospective of&#xa0;the&#xa0;Tutorial on&#xa0;Opportunities and&#xa0;Challenges of&#xa0;Online Deep Learning,Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,,,10.1007/978-3-031-74630-7_25,Cedric KulbachLucas CazzonelliHoang-Anh NgoMinh-Huong Le-NguyenAlbert Bifet,2025,https://link.springer.com/chapter/10.1007/978-3-031-74630-7_25,Conference paper
