Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-031-20614-6,Dorothea BaumeisterJörg Rothe,2022,https://link.springer.com/book/10.1007/978-3-031-20614-6,Conference proceedings
"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XV",Lecture Notes in Computer Science,,,,10.1007/978-3-031-20845-4,Nirav AjmeriAndreasa Morris MartinBastin Tony Roy Savarimuthu,2022,https://link.springer.com/book/10.1007/978-3-031-20845-4,Conference proceedings
Autonomous Agents and Multiagent Systems. Best and Visionary Papers,Lecture Notes in Computer Science,,,,10.1007/978-3-031-20179-0,Francisco S. MeloFei Fang,2022,https://link.springer.com/book/10.1007/978-3-031-20179-0,Conference proceedings
Developer Operations and Engineering Multi-agent Systems,Engineering Multi-Agent Systems,,,,10.1007/978-3-030-97457-2_10,Timotheus KampikCleber Jorge AmaralJomi Fred Hübner,2022,https://link.springer.com/chapter/10.1007/978-3-030-97457-2_10,Conference paper
Consensus in multi-agent systems: a review,Artificial Intelligence Review,,,,10.1007/s10462-021-10097-x,Abdollah AmirkhaniAmir Hossein Barshooi,2021,https://link.springer.com/article/10.1007/s10462-021-10097-x,Article
Finite-Time Group Consensus for Second-Order Multi-agent Systems with Input Saturation,Neural Processing Letters,,,,10.1007/s11063-022-10805-w,Pan YangAn ZhangWenhao Bi,2022,https://link.springer.com/article/10.1007/s11063-022-10805-w,Article
Self-learning Governance of Black-Box Multi-Agent Systems,"Coordination, Organizations, Institutions, Norms, and Ethics for Governance of Multi-Agent Systems XV",,,,10.1007/978-3-031-20845-4_5,Michael OesterleChristian BarteltStefan LüdtkeHeiner Stuckenschmidt,2022,https://link.springer.com/chapter/10.1007/978-3-031-20845-4_5,Conference paper
Formal verification of group and propagated trust in multi-agent systems,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-021-09542-6,Nagat DrawelJamal BentaharAmine LaarejGaith Rjoub,2022,https://link.springer.com/article/10.1007/s10458-021-09542-6,Article
Placing Blame in Multi-agent Systems,Culture and Computing,,,,10.1007/978-3-031-05434-1_28,Jaana HallamaaTaina Kalliokoski,2022,https://link.springer.com/chapter/10.1007/978-3-031-05434-1_28,Conference paper
Engineering Multi-Agent Systems,Lecture Notes in Computer Science,,,,10.1007/978-3-030-97457-2,Natasha AlechinaMatteo BaldoniBrian Logan,2022,https://link.springer.com/book/10.1007/978-3-030-97457-2,Conference proceedings
