Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Enhancing Financial Analysis with Generative AI: Utilizing Large Language Models for Efficient Data Extraction,Data Science,,,,10.1007/978-3-031-85856-7_19,Soham AgarwalDurga Madhab DashAnto Fredric Henry Mohan DassSai Bheeshma Ramaraju PagillaChaitanya Varma SanaboinaMatthew A. LanhamAshwin Mishra,2025,https://link.springer.com/chapter/10.1007/978-3-031-85856-7_19,Conference paper
Enhancing Career Guidance Through Intent Mining with Large Language Models,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,,,,10.1007/978-981-97-9255-9_2,Mohit Bhatnagar,2025,https://link.springer.com/chapter/10.1007/978-981-97-9255-9_2,Conference paper
Taming Large Language Models for Healthcare – A Multi-layered System,Artificial Intelligence and Applications,,,,10.1007/978-3-031-86623-4_15,Bharath SudharsanRyan KosibaAishwarya ParthasarathiRohan Paul Richard,2025,https://link.springer.com/chapter/10.1007/978-3-031-86623-4_15,Conference paper
Robust Unlearning for&#xa0;Large Language Models,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-981-96-8186-0_12,Kang GuMd. Rafi Ur RashidNajrin SultanaShagufta Mehnaz,2025,https://link.springer.com/chapter/10.1007/978-981-96-8186-0_12,Conference paper
Misinformation and&#xa0;Disinformation in&#xa0;Generative AI—A Survey,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-981-96-8183-9_23,Ramya Srinivasan,2025,https://link.springer.com/chapter/10.1007/978-981-96-8183-9_23,Conference paper
Large Language Models for&#xa0;Fault Detection in&#xa0;Buildings’ HVAC Systems,Energy Informatics,,,,10.1007/978-3-031-74741-0_4,Gerda LangerThomas HirschRoman KernTheresa KohlGerald Schweiger,2025,https://link.springer.com/chapter/10.1007/978-3-031-74741-0_4,Conference paper
Adapting Large Language Models for&#xa0;Parameter-Efficient Log Anomaly Detection,Data Science: Foundations and Applications,,,,10.1007/978-981-96-8298-0_26,Ying Fu LimJiawen ZhuGuansong Pang,2025,https://link.springer.com/chapter/10.1007/978-981-96-8298-0_26,Conference paper
Automatic Prompt Selection for&#xa0;Large Language Models,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-981-96-8180-8_8,Viet-Tung DoXuan-Quang NguyenVan-Khanh HoangDuy-Hung NguyenShahab SabahiJeff YangHajime HottaMinh-Tien NguyenHung Le,2025,https://link.springer.com/chapter/10.1007/978-981-96-8180-8_8,Conference paper
JailBench: A Comprehensive Chinese Security Assessment Benchmark for&#xa0;Large Language Models,Advances in Knowledge Discovery and Data Mining,,,,10.1007/978-981-96-8186-0_13,Shuyi LiuSimiao CuiHaoran BuYuming ShangXi Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-96-8186-0_13,Conference paper
Automatic Assessment of Active Learning in Online Discussions with Large Language Models,Artificial Intelligence in Education Technologies: New Development and Innovative Practices,,,,10.1007/978-981-97-9255-9_3,Ratrapee TechawitthayachindaRafael Iriya,2025,https://link.springer.com/chapter/10.1007/978-981-97-9255-9_3,Conference paper
A Paradigm Shift to&#xa0;Causal Model-Driven Decision-Making With Generative AI,AI and Multimodal Services  – AIMS 2024,,,,10.1007/978-3-031-77681-6_1,Sheng HeYishuang NingLiang-Jie ZhangKai Lei,2025,https://link.springer.com/chapter/10.1007/978-3-031-77681-6_1,Conference paper
Detoxifying Large Language Models via&#xa0;Kahneman-Tversky Optimization,Natural Language Processing and Chinese Computing,,,,10.1007/978-981-97-9443-0_36,Qingquan LiWenlong DuJin Liu,2025,https://link.springer.com/chapter/10.1007/978-981-97-9443-0_36,Conference paper
