"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Engineering LLM Powered Multi-Agent Framework for Autonomous CloudOps","K. Parthasarathy; K. Vaidhyanathan; R. Dhar; V. Krishnamachari; A. Kakran; S. Akshathala; S. Arun; A. Karan; B. Muhammed; S. Dubey; M. Veerubhotla","MontyCloud Inc; Software Engineering Research Center, IIIT, Hyderabad, India; Software Engineering Research Center, IIIT, Hyderabad, India; MontyCloud Inc; Software Engineering Research Center, IIIT, Hyderabad, India; Software Engineering Research Center, IIIT, Hyderabad, India; Software Engineering Research Center, IIIT, Hyderabad, India; Software Engineering Research Center, IIIT, Hyderabad, India; MontyCloud Inc; MontyCloud Inc; MontyCloud Inc",2025 IEEE/ACM 4th International Conference on AI Engineering – Software Engineering for AI (CAIN),"16 Jun 2025","2025","","","201","211","Cloud Operations (CloudOps) is a rapidly growing field focused on the automated management and optimization of cloud infrastructure which is essential for organizations nav-igating increasingly complex cloud environments. MontyCloud Inc. is one of the major companies in the CloudOps domain that leverages autonomous bots to manage cloud compliance, security, and continuous operations. To make the platform more accessible and effective to the customers, we leveraged the use of GenAl. Developing a GenAl-based solution for autonomous CloudOps for the existing MontyCloud system presented us with various challenges such as i) diverse data sources; ii) orchestration of multiple processes and iii) handling complex workflows to automate routine tasks. To this end, we developed MOYA, a multi-agent framework that leverages GenAI and balances autonomy with the necessary human control. This framework integrates various internal and external systems and is optimized for factors like task orchestration, security, and error mitigation while producing accurate, reliable, and relevant insights by utilizing Retrieval Augmented Generation (RAG). Evaluations of our multi-agent system with the help of practitioners as well as using automated checks demonstrate enhanced accuracy, responsiveness, and effectiveness over non-agentic approaches across complex workflows.","","979-8-3315-0219-5","10.1109/CAIN66642.2025.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030040","Autonomous CloudOps;LLM;AI Engineering;Multi-Agent Framework;Generative AI;Software Architecture","Accuracy;Software architecture;Generative AI;Soft sensors;Prevention and mitigation;Retrieval augmented generation;Software reliability;Security;Optimization;Multi-agent systems","","","","20","IEEE","16 Jun 2025","","","IEEE","IEEE Conferences"
"FeedbackFuzz: Fuzzing Processors via Intricate Program Generation with Feedback Engine","J. Wang; B. Cui; R. Dong; R. Zhai","School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China; School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China; School of Computer Science, Beijing University of Posts and Telecommunications, Beijing, China; School of Cyberspace Security, Beijing University of Posts and Telecommunications, Beijing, China","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","7 Mar 2025","2025","","","1","5","As modern processor designs become increasingly complex, detecting hardware vulnerabilities has become more challenge. Recently, hardware fuzzing techniques have shown promising results in generating complex programs for processor testing. However, the complexity of processors continues to limit the speed of vulnerability detection and the ability to achieve sufficient coverage.This paper introduces FeedbackFuzz, a novel processor fuzzer aimed at significantly accelerating vulnerability detection. FeedbackFuzz enhances detection efficiency by generating more effective test programs and optimizing the process of identifying vulnerabilities in longer programs. It designs a feedback engine for processors with out-of-order execution capabilities. Additionally, we leverage large language models (LLMs) to handle the complexity of locating vulnerabilities in lengthy programs, greatly speeding up the detection process. We evaluated FeedbackFuzz on several open-source RISC-V processors. Our evaluation demonstrates that the efficiency of FeedbackFuzz has increased by 40% compared to Cascade, with a coverage acceleration of 16.7%.","2379-190X","979-8-3503-6874-1","10.1109/ICASSP49660.2025.10889404","National Natural Science Foundation of China; Beijing University of Posts and Telecommunications; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10889404","Hardware Security;Fuzzing;RISC-V;Security Vulnerabilities;Feedback engine","Out of order;Location awareness;Fuzzing;Signal processing;Hardware;Complexity theory;Security;Speech processing;Engines;Testing","","","","28","IEEE","7 Mar 2025","","","IEEE","IEEE Conferences"
"Overview of Generative Artificial Intelligence Security","K. Ots",NA,Securing Microsoft Azure OpenAI,"","2025","","","1","17","Summary <p>Enterprises need to be aware of the new risks that come with using generative artificial intelligence (AI) and tackle them proactively to reap the benefits. Generative AI introduces completely new risk categories and changes our established risk management approach. Generative AI introduces a new risk category of intentional malicious usage of generative AI. Alongside the positive productivity impact of generative AI usage for approved use cases, threat actor productivity is also growing at an unprecedented rate. The AI usage layer covers user accountability and data governance for generative AI application. Users need to be aware of the security, privacy, and ethical implications of using generative AI, as well as the potential threats of AI‐based attacks. The AI application security layer focuses on application design and safety systems. The AI application layer is the interface between the user and the generative AI.</p>","","9781394291113","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10955772.pdf&bkn=10955557&pdfType=chapter","","Generative AI;Artificial intelligence;Security;Data models;Grounding;Training data;Context modeling;Tuning;Virtual assistants;Probabilistic logic","","","","","","8 Apr 2025","","","Wiley","Wiley AI eBook Chapters"
"Event-Triggered Observer-Based $\mathcal {H}_\infty$ Consensus Control and Fault Detection of Multiagent Systems Under Stochastic False Data Injection Attacks","X. -G. Guo; D. -Y. Zhang; J. -L. Wang; J. H. Park; L. Guo","School of Beijing Engineering Research Center of Industrial Spectrum Imaging, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, China; School of Beijing Engineering Research Center of Industrial Spectrum Imaging, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, China; Autonomous Intelligent Systems Department, Hangzhou Innovation Institute of Beihang University, Hangzhou, China; Department of Electrical Engineering, Yeungnam University, Kyongsan, South Korea; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China",IEEE Transactions on Network Science and Engineering,"23 Mar 2022","2022","9","2","481","494","This paper investigates the event-triggered observer-based security consensus and fault detection problem for nonlinear multi-agent systems (MASs) under external disturbances and stochastic false data injection attacks (FDIAs) over a directed communication network. The randomly occurring FDIAs are modeled by random variables that follow the Bernoulli distribution. An observer-based event-triggered control strategy using only local measurements and information from neighboring agents is developed, where the Zeno behavior of event-triggered mechanism (ETM) is excluded. Interestingly, the observer errors are first regarded as disturbance and then attenuated by $\mathcal {H}_{\infty }$ norm bounds, together with the external disturbances. Meanwhile, it is worth highlighting here that the same information used by the state observers is also adopted to construct residuals with adaptive thresholds, whose aim is to detect faults occurring in any agents. In addition, the accuracy of the observer and the performance of the fault detection mechanism are improved by introducing the disturbance compensation mechanism. Finally, simulation results are provided to illustrate the effectiveness and advantages of the proposed strategy.","2327-4697","","10.1109/TNSE.2021.3121727","National Natural Science Foundation of China(grant numbers:62173028,61773056); Scientific and Technological Innovation Foundation of Shunde Graduate School(grant numbers:BK19AE018); Fundamental Research Funds for the Central Universities(grant numbers:FRFTP-20-09B,230201606500061,FRF-BD-19-002A); National Natural Science Foundation of China(grant numbers:62173024); Natural Science Foundation of Zhejiang Province(grant numbers:LD21F030001); National Research Foundation of Korea; Ministry of Science and Information and Communications Technology (ICT)(grant numbers:2019R1A5A8080290); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9583901","Observer-based anti-disturbance control;event-triggered mechanism (ETM);fault detection mechanism;multi-agent systems (MASs);false data injection attacks (FDIAs)","Fault detection;Observers;Symmetric matrices;Topology;Network topology;Multi-agent systems;Electrical engineering","","49","","45","CCBYNCND","21 Oct 2021","","","IEEE","IEEE Journals"
"Generative Al-aided Joint Training-free Secure Semantic Communications via Multi-modal Prompts","H. Du; G. Liu; D. Niyato; J. Zhang; J. Kang; Z. Xiong; B. Ai; D. I. Kim","Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; Beijing Jiaotong University, China; Guangdong University of Technology, China; Singapore University of Technology and Design, Singapore; Beijing Jiaotong University, China; Sungkyunkwan University, Korea","ICASSP 2024 - 2024 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","18 Mar 2024","2024","","","12896","12900","Semantic communication (SemCom) holds promise for reducing network resource consumption while achieving the communications goal. However, the computational overheads in jointly training semantic encoders and decoders—and the subsequent deployment in network devices—are overlooked. Recent advances in Generative artificial intelligence (GAI) offer a potential solution. The robust learning abilities of GAI models indicate that semantic decoders can reconstruct source messages using a limited amount of semantic information, e.g., prompts, without joint training with the semantic encoder. A notable challenge, however, is the instability introduced by GAI’s diverse generation ability. This instability, evident in outputs like text-generated images, limits the direct application of GAI in scenarios demanding accurate message recovery, such as face image transmission. To solve the above problems, this paper proposes a GAI-aided SemCom system with multi-model prompts for accurate content decoding. Moreover, in response to security concerns, we introduce the application of covert communications aided by a friendly jammer. The system jointly optimizes the diffusion step, jamming, and transmitting power with the aid of the generative diffusion models, enabling successful and secure transmission of the source messages.","2379-190X","979-8-3503-4485-1","10.1109/ICASSP48485.2024.10447237","National Research Foundation; Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10447237","Generative AI;semantic communications;prompt engineering;covert communications","Training;Wireless communication;Computational modeling;Image communication;Semantics;Signal processing;Decoding","","15","","17","IEEE","18 Mar 2024","","","IEEE","IEEE Conferences"
"Auction Bidding Methods for Multiagent Consensus Optimization in Supply–Demand Networks","N. Rahimi; J. Liu; A. Shishkarev; I. Buzytsky; A. G. Banerjee","University of Washington, Seattle, WA, US; University of Washington, Seattle, WA, US; Bias Intelligence, Inc., Roswell, GA, USA; Bias Intelligence, Inc., Roswell, GA, USA; University of Washington, Seattle, WA, US",IEEE Robotics and Automation Letters,"23 Sep 2018","2018","3","4","4415","4422","Multiagent systems are characterized by decentralized decision-making by the (semi)autonomous agents and localized communication or information exchange among the neighboring agents. Supply–demand networks form the backbones of both services and manufacturing industries, and need to operate as efficiently as possible to yield optimized returns. In this letter, we bring the notion of multiagent systems to clustered supply–demand networks such that each supplier acts as an agent. Consequently, we adapt consensus-based auction bidding methods to optimize the assignment of demands to the suppliers with known communication pathways and resource constraints. Results on moderately large networks show promising performance in terms of both assignment quality, as given by the overall demand delivery cost and proportion of assigned demands, and computation time.","2377-3766","","10.1109/LRA.2018.2869999","Anders Brown (University of Washington, BSME’92, MSME’94); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8463627","Agent-based systems;logistics;optimal demand assignment;supply networks","Task analysis;Optimization;Supply chains;Robot sensing systems;Decision making;Manufacturing industries","","5","","23","IEEE","12 Sep 2018","","","IEEE","IEEE Journals"
"TriageHD: A Hyper-Dimensional Learning-to-Rank Framework for Dynamic Micro-Segmentation in Zero-Trust Network Security","R. Masukawa; S. Yun; S. Jeong; N. D. Bastian; M. Imani","Department of Computer Science, University of California at Irvine, Irvine, CA, USA; Department of Computer Science, University of California at Irvine, Irvine, CA, USA; Department of Computer Science, University of California at Irvine, Irvine, CA, USA; United States Military Academy, West Point, NY, USA; Department of Computer Science, University of California at Irvine, Irvine, CA, USA",IEEE Access,"8 Aug 2025","2025","13","","136806","136815","Network security faces major challenges from sophisticated cyber attacks that exploit lateral movement and evade traditional network intrusion detection mechanisms. To address these challenges, micro-segmentation has proven to be an effective defense strategy for isolating network components and limiting breach propagation. This paper presents TriageHD, a novel framework that integrates graph-based Hyper-Dimensional Computing (HDC) with a learning-to-rank algorithm to strengthen zero-trust network security. TriageHD constructs dynamic scene graphs from time-based network flow data, integrating feature representations extracted via a self-attention-based payload encoder. It employs a learning-to-rank algorithm with an approximated nDCG loss function, incorporating time-aware relevance and graph-aware HDC to prioritize nodes for segregation, thereby mitigating attack propagation. Experiments on the CIC-IDS-2017 dataset demonstrate that TriageHD outperforms state-of-the-art graph neural networks, including graph convolutional networks, graph attention networks, and graph transformer models, in threat prioritization accuracy. By providing a dynamic micro-segmentation approach, TriageHD significantly enhances automated threat detection and response. This work bridges traditional network security measures with zero-trust paradigms, laying the groundwork for future advancements in dynamic micro-segmentation.","2169-3536","","10.1109/ACCESS.2025.3592877","U.S. Military Academy (USMA) under Cooperative(grant numbers:W911NF-24-2-0200); U.S. Army Combat Capabilities Development Command (DEVCOM) C5ISR Center(grant numbers:USMA23011); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11096592","Zero-trust;network security;dynamic micro-segmentation;graph neural network;hyper-dimensional computing;learning-to-rank algorithm","Network security;Heuristic algorithms;Optimization;Training;Threat assessment;Standards;Logic gates;Encoding;Vectors;Surveys","","","","36","CCBY","25 Jul 2025","","","IEEE","IEEE Journals"
"Resilient Distributed Optimization Algorithm Based on Trusted Nodes against Malicious Attacks","L. Cao; W. Gao","School of Mathematics, South China University of Technology, Guangzhou, China; School of Mathematics, South China University of Technology, Guangzhou, China",2024 43rd Chinese Control Conference (CCC),"17 Sep 2024","2024","","","5943","5948","Distributed optimization problem is a category of optimization problems on multi-agent systems. In contrast to centralized optimization, it does not require a central decision-maker and has higher openness and scalability, which is more conducive to solving large-scale complex optimization problems. However, at the same time, it is more susceptible to network attacks. To withstand malicious attacks, some scholars have introduced a fault-tolerance mechanism by constructing a connected dominating set (CDS) of trusted nodes within the network. The CDS governs network decision-making to enhance the system security. In this paper, we relax this construction and propose a novel fault-tolerant mechanism. This mechanism does not require the construction of a CDS but only ensures that each node is connected to at least one trusted node. By sacrificing a little iteration time, it combats malicious attacks and avoids the algorithm moving towards a centralized approach. Then the paper leverages the new fault-tolerant mechanism to propose a resilient distributed optimization algorithm based on trusted nodes. The effectiveness of the algorithm is verified by analyzing the consensus and convergence of it. Finally, numerical experimental results show that the performance of the proposed algorithm is almost consistent to the resilient distributed optimization algorithm based on the CDS. The proposed algorithm is effective and can still operate normally even when the trusted nodes do not form a CDS.","1934-1768","978-9-8875-8158-1","10.23919/CCC63176.2024.10662289","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10662289","Distributed optimization;Multi-agent systems;Trusted nodes;Malicious attacks","Fault tolerance;Filtering;Scalability;Fault tolerant systems;Decision making;Resists;Security","","","","22","","17 Sep 2024","","","IEEE","IEEE Conferences"
"Distributed Optimal Consensus Learning Control for Nonlinear MASs with Output Constraints","Z. Guo; X. -M. Li; H. Li; R. Lu","School of Automation and Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, Guangdong, China; School of Automation and Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, Guangdong, China; School of Automation and Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, Guangdong, China; School of Automation and Guangdong Province Key Laboratory of Intelligent Decision and Cooperative Control, Guangdong University of Technology, Guangzhou, Guangdong, China",2021 6th International Conference on Robotics and Automation Engineering (ICRAE),"4 Jan 2022","2021","","","108","112","This paper proposes a distributed optimal consensus control approach based on adaptive dynamic programming for multi-agent systems (MASs) with output constraints. Considering the environment and security constraints of system outputs, a barrier function is adopted to transform the constrained system into an equivalent unconstrained system. To facilitate the controller design, a distributed observer is constructed to generate desired tracking signals for each follower by estimating the states of leader. Then, the leader-follower consensus problem of MASs with output constraints is formulated as a general optimal tracking control problem for multiple independent single systems. In the neural network (NN) training process, only a single critic NN is used to estimate the optimal cost function of each agent, and the actor NN is eliminated. A novel approximate controller including error term and NN approximation term is derived to ensure the stability of the closed-loop system and achieve the desired control performance. Finally, the effectiveness of the developed distributed optimal consensus control approach is verified by a simulation example.","","978-1-6654-0697-0","10.1109/ICRAE53653.2021.9657798","National Natural Science Foundation of China(grant numbers:62121004,62033003); China Postdoctoral Science Foundation(grant numbers:2021TQ0079); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9657798","adaptive dynamic programming;critic neural network (NN);distributed observer;multi-agent systems (MASs);output constraints","Training;Optimal control;Artificial neural networks;Transforms;Consensus control;Observers;Cost function","","","","13","IEEE","4 Jan 2022","","","IEEE","IEEE Conferences"
"Forest Fire Image Classification Through Decentralized DNN Inference","D. Papaioannou; V. Mygdalis; I. Pitas","Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Faculty of Business and Economics, University of Antwerp, Antwerpen, Belgium; Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece",2024 IEEE International Conference on Image Processing Challenges and Workshops (ICIPCW),"2 Dec 2024","2024","","","4134","4140","In the realm of Natural Disaster Management (NDM), timely communication with local authorities is paramount for an effective response. To achieve this, multi-agent systems play a pivotal role by proficiently identifying and categorizing various disasters. In the field of Distributed Deep Neural Network (D-DNN) inference, such approaches often require DNN nodes to transmit their results to the cloud for inference, or they necessitate the establishment of a fixed topology network to enable inference directly on the edge, a practice prone to security risks. In this work, we propose a decentralized inference strategy tailored for fire classification tasks. In this approach, individual DNN nodes communicate within a network and enhance their predictions by considering other DNN node inference outputs that contribute to improving their individual performance. The overall coordination of the system on a specific decision is achieved through a consensus protocol, which acts as a universally accepted inference rule adopted by all DNN nodes operating within the system. We present a comprehensive experimental analysis, of the forest-fire classification task, focusing on enhancing both individual DNN node performance and the stability of the consensus protocol.","","979-8-3315-1594-2","10.1109/ICIPCW64161.2024.10769107","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10769107","Natural Disaster Management (NDM);Fire classification;Multi-Agent Systems;Decentralized DNN Inference;BFT Consensus Protocol","Decision making;Artificial neural networks;Disaster management;Forestry;Stability analysis;Consensus protocol;Topology;Security;Multi-agent systems;Resilience","","","","25","IEEE","2 Dec 2024","","","IEEE","IEEE Conferences"
