"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Instruct or Interact? Exploring and Eliciting LLMs' Capability in Code Snippet Adaptation Through Prompt Engineering","T. Zhang; Y. Yu; X. Mao; S. Wang; K. Yang; Y. Lu; Z. Zhang; Y. Zhao","College of Computer Science and Technology, National University of Defense and Technology, Changsha, China; College of Computer Science and Technology, National University of Defense and Technology, Changsha, China; College of Computer Science and Technology, National University of Defense and Technology, Changsha, China; College of Computer Science and Technology, National University of Defense and Technology, Changsha, China; College of Computer Science and Technology, National University of Defense and Technology, Changsha, China; College of Computer Science and Technology, National University of Defense and Technology, Changsha, China; College of Computer Science and Technology, National University of Defense and Technology, Changsha, China; College of Computer Science and Technology, National University of Defense and Technology, Changsha, China",2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"23 Jun 2025","2025","","","566","577","Code snippet adaptation is a fundamental activity in the software development process. Unlike code generation, code snippet adaptation is not a “free creation”, which requires developers to tailor a given code snippet in order to fit specific requirements and the code context. Recently, large language models (LLMs) have confirmed their effectiveness in the code generation task with promising results. However, their performance on code snippet adaptation, a reuse-oriented and context-dependent code change prediction task, is still unclear. To bridge this gap, we conduct an empirical study to investigate the performance and issues of LLMs on the adaptation task. We first evaluate the adaptation performances of three popular LLMs and compare them to the code generation task. Our result indicates that their adaptation ability is weaker than generation, with a nearly 15% decrease on pass@1 and more context-related errors. By manually inspecting 200 cases, we further investigate the causes of LLMs' sub-optimal performance, which can be classified into three categories, i.e., Unclear Requirement, Requirement Misalignment and Context Misapplication. Based on the above empirical research, we propose an interactive prompting approach to eliciting LLMs' ability on the adaptation task. Specifically, we enhance the prompt by enriching the context and decomposing the task, which alleviates context misapplication and improves requirement understanding. Besides, we enable LLMs' reflection by requiring them to interact with a human or a LLM counselor, compensating for unclear requirement. Our experimental result reveals that our approach greatly improve LLMs' adaptation performance. The best-performing Human-LLM interaction successfully solves 159 out of the 202 identified defects and improves the pass@1 and pass@5 by over 40% compared to the initial instruction-based prompt. Considering human efforts, we suggest multi-agent interaction as a trade-off, which can achieve comparable performance with excellent generalization ability. We deem that our approach could provide methodological assistance for autonomous code snippet reuse and adaptation with LLMs.","1558-1225","979-8-3315-0569-1","10.1109/ICSE55347.2025.00104","National Natural Science Foundation of China(grant numbers:62302515,62172426,62332005); National Key Research and Development Program of China(grant numbers:2023YFB4503802); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029912","Code Snippet Adaptation;Large Language Models;Prompt Engineering;Interactive Workflow","Bridges;Codes;Large language models;Context awareness;Reflection;Prompt engineering;Software engineering;Software development management","","","","55","IEEE","23 Jun 2025","","","IEEE","IEEE Conferences"
"VHDL-Eval: A Framework for Evaluating Large Language Models in VHDL Code Generation","P. Vijayaraghavan; L. Shi; S. Ambrogio; C. Mackin; A. Nitsure; D. Beymer; E. Degan","IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA; IBM Research, San Jose, CA, USA",2024 IEEE LLM Aided Design Workshop (LAD),"1 Oct 2024","2024","","","1","6","With the unprecedented advancements in Large Language Models (LLMs), their application domains have expanded to include code generation tasks across various programming languages. While significant progress has been made in enhancing LLMs for popular programming languages, there exists a notable gap in comprehensive evaluation frameworks tailored for Hardware Description Languages (HDLs), particularly VHDL. This paper addresses this gap by introducing a comprehensive evaluation framework designed specifically for assessing LLM performance in VHDL code generation task. We construct a dataset for evaluating LLMs on VHDL code generation task. This dataset is constructed by translating a collection of Verilog evaluation problems to VHDL and aggregating publicly available VHDL problems, resulting in a total of 202 problems. To assess the functional correctness of the generated VHDL code, we utilize a curated set of self-verifying testbenches specifically designed for those aggregated VHDL problem set. We conduct an initial evaluation of different LLMs and their variants, including zero-shot code generation, in-context learning (ICL), and Parameter-efficient fine-tuning (PEFT) methods. Our findings underscore the considerable challenges faced by existing LLMs in VHDL code generation, revealing significant scope for improvement. This study emphasizes the necessity of supervised fine-tuning code generation models specifically for VHDL, offering potential benefits to VHDL designers seeking efficient code generation solutions.","","979-8-3503-7608-1","10.1109/LAD62341.2024.10691836","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10691836","LLMs;large language models;VHDL Code generation;VHDL Evaluation;hardware design automation;Hardware Description Languages;HDL;PEFT;ICL","VHDL;Codes;Design automation;Large language models;Conferences;Hardware","","3","","22","IEEE","1 Oct 2024","","","IEEE","IEEE Conferences"
"Document Information Extraction in Engineering Reports Through Prompt Engineering with Large Language Models","Y. Yao; Z. Lin; X. Liu; Y. Li","Petro China Southwest Oil and Gasfield company, Sichuan, China; Petro China Southwest Oil and Gasfield company, Sichuan, China; Petro China Southwest Oil and Gasfield company, Sichuan, China; Petro China Southwest Oil and Gasfield company, Sichuan, China","2025 IEEE 6th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)","23 Jun 2025","2025","","","1","4","This article delves into the application of Prompt Engineering to enhance the document information extraction capabilities of large language models (LLMs), with a focus on optimizing the performance of advanced models such as chatglm4 and qwen 2.5 through meticulous prompt design. A structured approach encompassing task decomposition, evaluation metric establishment, and prompt instruction design is proposed. Experiments conducted on engineering technical reports reveal that Prompt Engineering markedly improves the accuracy and robustness of information extraction, with the optimized models demonstrating superior performance in pinpointing and extracting crucial information. These findings underscore the potential of Prompt Engineering in propelling AI technology and its applications forward, particularly in key information extraction tasks pertaining to engineering technical reports.","","979-8-3315-2228-5","10.1109/AINIT65432.2025.11035034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11035034","Prompt Engineering;document information extraction;Large Language Models (LLMs)","Training;Knowledge engineering;Accuracy;Large language models;Writing;Information retrieval;Robustness;Prompt engineering;Data mining;Context modeling","","","","12","IEEE","23 Jun 2025","","","IEEE","IEEE Conferences"
"Automating Patch Set Generation from Code Review Comments Using Large Language Models","T. Rahman; R. Singh; M. Y. Sultan","Gannon University, Erie, PA, USA; Gannon University, Erie, PA, USA; Gannon University, Erie, PA, USA",2024 IEEE/ACM 3rd International Conference on AI Engineering – Software Engineering for AI (CAIN),"18 Jun 2024","2024","","","273","274","The advent of Large Language Models (LLMs) has revolutionized various domains of artificial intelligence, including the realm of software engineering. In this research, we evaluate the efficacy of pre-trained LLMs in replicating the tasks traditionally performed by developers in response to code review comments. We provide code contexts to five popular LLMs and obtain the suggested code-changes (patch sets) derived from real-world code-review comments. The performance of each model is meticulously assessed by comparing their generated patch sets against the historical data of human-generated patch-sets from the same repositories. This comparative analysis aims to determine the accuracy, relevance, and depth of the LLMs’ feedback, thereby evaluating their readiness to support developers in responding to code-review comments. Novelty: This particular research area is still immature requiring a substantial amount of studies yet to be done. No prior research has compared the performance of existing Large Language Models (LLMs) in code-review comments. This in-progress study assesses current LLMs in code review and paves the way for future advancements in automated code quality assurance, reducing context-switching overhead due to interruptions from code change requests.CCS CONCEPTS• Software and its engineering → Automatic programming","","979-8-4007-0591-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556042","Large Language Models;Automated Code Review;Software Engineering;Pull Requests;Code Quality","Codes;Quality assurance;Automatic programming;Accuracy;Reviews;Software;Data models","","","","9","","18 Jun 2024","","","IEEE","IEEE Conferences"
"Automated Code Review Using Large Language Models with Symbolic Reasoning","B. İçöz; G. Biricik","Computer Engineering, Yıldız Technical University, Istanbul, Turkiye; Computer Engineering, Yıldız Technical University, Istanbul, Turkiye",2025 9th International Symposium on Innovative Approaches in Smart Technologies (ISAS),"12 Aug 2025","2025","","","1","5","Code review is one of the key processes in the software development lifecycle and is essential to maintain code quality. However, manual code review is subjective and time consuming. Given its rule-based nature, code review is well suited for automation. In recent years, significant efforts have been made to automate this process with the help of artificial intelligence. Recent developments in Large Language Models (LLMs) have also emerged as a promising tool in this area, but these models often lack the logical reasoning capabilities needed to fully understand and evaluate code. To overcome this limitation, this study proposes a hybrid approach that integrates symbolic reasoning techniques with LLMs to automate the code review process. We tested our approach using the CodexGlue dataset, comparing several models, including CodeT5, CodeBERT, and GraphCodeBERT, to assess the effectiveness of combining symbolic reasoning and prompting techniques with LLMs. Our results show that this approach improves the accuracy and efficiency of automated code review.","","979-8-3315-1482-2","10.1109/ISAS66241.2025.11101776","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11101776","code review;large language models;symbolic reasoning;prompt techniques;automated code review","Codes;Accuracy;Reviews;Large language models;Manuals;Programming;Cognition;Software reliability;Software engineering;Software development management","","","","29","IEEE","12 Aug 2025","","","IEEE","IEEE Conferences"
"Advanced Techniques in Prompt Engineering for Large Language Models: A Comprehensive Study","G. Beri; V. Srivastava","Corps of Signal, MCTE, Mhow, India; Corps of Signal, MCTE, Mhow, India",2024 IEEE 4th International Conference on ICT in Business Industry & Government (ICTBIG),"13 Mar 2025","2024","","","1","4","Prompt engineering is emerging as a pivotal approach to enhance the efficiency and versatility of large language models (LLMs) like GPT-4. This paper provides a comprehensive survey of key techniques in prompt engineering, highlighting foundational methods and advanced strategies. One-shot prompting, a basic yet impactful technique, involves supplying the model with a single example to guide its responses. In contrast, Chain-of-Thought (CoT) prompting encourages the model to generate intermediate reasoning steps, significantly improving its problem-solving abilities. Self-Consistency, an advanced strategy, involves generating multiple potential responses and selecting the most coherent one, thereby increasing the reliability of outputs. The transformative potential of these techniques is showcased through various applications in education, content creation, and programming. In education, prompt engineering can personalize learning experiences and provide tailored feedback to students. Content creation benefits from enhanced creativity and coherence in generated text, aiding writers and marketers. In programming, LLMs assist in code generation and debugging, streamlining the development process. This paper not only outlines the methodologies and their practical applications but also proposes future research directions to further refine and expand the capabilities of prompt engineering. By understanding and leveraging these techniques, practitioners can significantly optimize the performance and adaptability of LLMs across diverse domains. This framework aims to foster innovation and efficiency, laying the groundwork for future advancements in AI-driven technologies.","","979-8-3315-1898-1","10.1109/ICTBIG64922.2024.10911672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911672","Prompt engineering;Chain-of-Thought;Large Language Models;Self-consistency;Application;AI-generated content","Surveys;Technological innovation;Large language models;Education;Government;Debugging;Prompt engineering;Reliability;Problem-solving;Programming profession","","","","12","IEEE","13 Mar 2025","","","IEEE","IEEE Conferences"
"An Empirical Study on Fine-Tuning Large Language Models of Code for Automated Program Repair","K. Huang; X. Meng; J. Zhang; Y. Liu; W. Wang; S. Li; Y. Zhang","University of Chinese Academy of Sciences, Bejiing, China; Beihang University, Beijing, China; Nanyang Technological University, Singapore; Nanyang Technological University, Singapore; University of Chinese Academy of Sciences, Bejiing, China; Zhongguancun Laboratory, Beijing, China; University of Chinese Academy of Sciences, Bejiing, China",2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),"8 Nov 2023","2023","","","1162","1174","The advent of large language models (LLMs) has opened up new opportunities for automated program repair (APR). In particular, some recent studies have explored how to leverage large language models of code (LLMCs) for program repair tasks and show promising results. However, most of them adopt the zero/few-shot learning paradigm for APR, which directly use LLMCs to generate the possibly correct code given its surrounding context. Though effective, the repair capabilities of LLMCs based on the fine-tuning paradigm have yet to be extensively explored. Also, it remains unknown whether LLMCs have the potential to repair more complicated bugs (e.g., multi-hunk bugs). To fill the gap, in this work, we conduct a comprehensive study on the program repair capability of LLMCs in the fine-tuning paradigm. We select 5 popular LLMCs with representative pre-training architectures, including CodeBERT, GraphCode-BERT, PLBART, CodeT5, and UniX coder. We consider 3 typical program repair scenarios (i.e., bugs, vulnerabilities, and errors) involving 3 programming languages (i.e., Java, $\mathrm{C}/\mathrm{C}++$, and JavaScript). Notably, we take both single-hunk and multi-hunk bugs/vulnerabilities into account. We then fine-tune them on widely-used datasets and compare them with existing state-of-the-art APR tools. We also investigate the impact of different design choices, which include code abstractions, code representations, and model evaluation metrics. Our experimental results show that LLMCs in the fine-tuning paradigm can significantly outperform previous state-of-the-art APR tools. Through in-depth analysis, we provide insights into choosing appropriate strategies to guide LLMCs for better performance. Lastly, we reveal several limitations of LLMCs for APR and make suggestions for future research on LLMC-based APR.","2643-1572","979-8-3503-2996-4","10.1109/ASE56229.2023.00181","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298532","Automated Program Repair;Large Language Models of Code;Neural Machine Translation;Fine-Tuning","Measurement;Java;Computer languages;Codes;Computer bugs;Maintenance engineering;Benchmark testing","","43","","70","IEEE","8 Nov 2023","","","IEEE","IEEE Conferences"
"Large Language Models in Healthcare: Prompt Engineering Competition","P. Kocbek; L. Gosak; G. Stiglic","Faculty of Health Sciences, University of Maribor, Maribor, Slovenia; Faculty of Health Sciences, University of Maribor, Maribor, Slovenia; Faculty of Health Sciences Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia",2025 IEEE 13th International Conference on Healthcare Informatics (ICHI),"22 Jul 2025","2025","","","696","696","This tutorial/competition explores prompt engineering for large language models (LLMs) with a focus on OpenAI's ChatGPT, such as GPT-4o or GPT-4o-mini, showcasing the potential usefulness in healthcare. It is structured in two parts: 1) a practical tutorial focusing on advanced prompt engineering methods and highlighting privacy requirements, such as HIPAA, GDPR, in healthcare and 2) a hands-on part in the form of a prompt engineering competition. Participants will be asked to find the best solution for a specific healthcare related task on healthcare data using free OpenAI ChatGPT. The intended audience are healthcare researchers and professionals, AI scientists, data scientists, and PhD students in the relevant fields as well as others. Attendees will gain insights into prompt engineering strategies and get insights how desirable outcomes for specific tasks can be achieved. This tutorial aims to educate participants with the knowledge on how to improve utilization of LLMs in healthcare and encourage creative thinking in solving real-world problems in healthcare.","2575-2634","979-8-3315-2094-6","10.1109/ICHI64645.2025.00105","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081568","large language models;prompt engineering;healthcare","Privacy;Large language models;Focusing;Medical services;Tutorials;Chatbots;Prompt engineering;Informatics","","","","2","IEEE","22 Jul 2025","","","IEEE","IEEE Conferences"
"LLM-Powered Multi-Agent Systems: A Technical Framework for Collaborative Intelligence Through Optimized Knowledge Retrieval and Communication","V. Gogineni","Columbia Business School, Columbia University, NewYork, United States","2025 6th International Conference on Artificial Intelligence, Robotics and Control (AIRC)","15 Jul 2025","2025","","","452","456","This paper presents a comprehensive technical framework for constructing effective multi-agent systems powered by large language models (LLMs). We examine how multiple LLM-based agents can collaborate to solve complex problems beyond the capabilities of single agents through specialized knowledge integration and optimized communication protocols. Our novel architecture enables efficient collaboration between heterogeneous LLM agents, each with domain-specific capabilities and knowledge bases. Experimental results demonstrate that our multi-agent LLM system achieves 42% higher accuracy on complex knowledge tasks, 37% reduction in hallucinations, and 29% faster convergence on collaborative problem-solving compared to baseline approaches. By implementing optimized knowledge retrieval mechanisms and structured communication patterns, our system reduces token usage by 45% while maintaining semantic fidelity across agent interactions. These findings establish key design principles for building more effective and reliable collaborative LLM-based multi-agent systems for enterprise applications","","979-8-3315-4348-8","10.1109/AIRC64931.2025.11077480","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11077480","Large language models;multi-agent systems;retrieval-augmented generation;vector databases;prompt engineering;knowledge retrieval","Knowledge engineering;Accuracy;Databases;Large language models;Semantics;Collaboration;Vectors;Prompt engineering;Robots;Convergence","","","","25","IEEE","15 Jul 2025","","","IEEE","IEEE Conferences"
"Large Language Models for Software Engineering: Survey and Open Problems","A. Fan; B. Gokkaya; M. Harman; M. Lyubarskiy; S. Sengupta; S. Yoo; J. M. Zhang","Generative AI Team Meta Platforms Inc., New York, NY, USA; PyTorch Team Meta Platforms Inc., Menlo Park, CA, USA; Instagram Product Foundation Meta Platforms Inc., London, UK; Developer Infrastructure Meta Platforms Inc., London, UK; FAIR Meta Platforms Inc., Menlo Park, CA, USA; School of Computing KAIST, Daejeon, Korea; Department of Informatics, King's College London, London, UK",2023 IEEE/ACM International Conference on Software Engineering: Future of Software Engineering (ICSE-FoSE),"4 Mar 2024","2023","","","31","53","This paper provides a survey of the emerging area of Large Language Models (LLMs) for Software Engineering (SE). It also sets out open research challenges for the application of LLMs to technical problems faced by software engineers. LLMs' emergent properties bring novelty and creativity with applications right across the spectrum of Software Engineering activities including coding, design, requirements, repair, refactoring, performance improvement, documentation and analytics. However, these very same emergent properties also pose significant technical challenges; we need techniques that can reliably weed out incorrect solutions, such as hallucinations. Our survey reveals the pivotal role that hybrid techniques (traditional SE plus LLMs) have to play in the development and deployment of reliable, efficient and effective LLM-based SE.","","979-8-3503-2496-9","10.1109/ICSE-FoSE59343.2023.00008","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449667","Automated Program Repair;Documentation generation;Generative AI;Genetic Improvement;Human-Computer Interaction;Large Language Models;Refactoring;Requirements engineering;Search Based Software Engineering (SBSE);Software Analytics;Software Engineering Education;Software Processes;Software Maintenance and Evolution;Software Testing","Surveys;Maintenance engineering;Reliability engineering;Software;Software reliability;Software engineering;Testing","","192","","236","IEEE","4 Mar 2024","","","IEEE","IEEE Conferences"
