"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Understanding Regular Expression Denial of Service (ReDoS): Insights from LLM-Generated Regexes and Developer Forums","M. L. Siddiq; J. Zhang; J. C. S. Santos","University of Notre Dame, Notre Dame, IN, USA; University of Notre Dame, Notre Dame, IN, USA; University of Notre Dame, Notre Dame, IN, USA",2024 IEEE/ACM 32nd International Conference on Program Comprehension (ICPC),"18 Jun 2024","2024","","","190","201","Regular expression Denial of Service (ReDoS) represents an algorithmic complexity attack that exploits the processing of regular expressions (regexes) to produce a denial-of-service attack. This attack occurs when a regex’s evaluation time scales polynomially or exponentially with input length, posing significant challenges for software developers. The advent of Large Language Models (LLMs) has revolutionized the generation of regexes from natural language prompts, but not without its risks. Prior works showed that LLMs can generate code with vulnerabilities and security smells. In this paper, we examined the correctness and security of regexes generated by LLMs as well as the characteristics of LLM-generated vulnerable regexes. Our study also examined ReDoS patterns in actual software projects, aligning them with corresponding regex equivalence classes and algorithmic complexity. Moreover, we analyzed developer discussions on GitHub and StackOverflow, constructing a taxonomy to investigate their experiences and perspectives on ReDoS. In this study, we found that GPT-3.5 was the best LLM to generate regexes that are both correct and secure. We also observed that LLM-generated regexes mainly have polynomial ReDoS vulnerability patterns, and it is consistent with vulnerable regexes found in open source projects. We also found that developers’ main discussions around insecure regexes is related to mitigation strategies to remove vulnerable regexes. CCS CONCEPTS • Software and its engineering$\rightarrow$ State based definitions; • Security and privacy $\rightarrow$ Denial-of-service attacks; • Computing methodologies $\rightarrow$ Multi-task learning.","2643-7171","979-8-4007-0586-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10556479","ReDoS;DoS Attack;large language models;regex generation","Privacy;Taxonomy;Software algorithms;Natural languages;Denial-of-service attack;Software;Polynomials","","3","","72","","18 Jun 2024","","","IEEE","IEEE Conferences"
"Assessing the Performance of AI-Generated Code: A Case Study on GitHub Copilot","S. Li; Y. Cheng; J. Chen; J. Xuan; S. He; W. Shang","School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; School of Computer Science, Wuhan University, Wuhan, China; Department of Systems and Industrial Engineering, University of Arizona, Tucson, United States; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, Canada",2024 IEEE 35th International Symposium on Software Reliability Engineering (ISSRE),"3 Dec 2024","2024","","","216","227","The integration of Large Language Models (LLMs) into software development tools like GitHub Copilot holds the promise of transforming code generation processes. While AI-driven code generation presents numerous advantages for software development, code generated by large language models may introduce challenges related to security, privacy, and copyright issues. However, the performance implications of AI-generated code remain insufficiently explored. This study conducts an empirical analysis focusing on the performance regressions of code generated by GitHub Copilot across three distinct datasets: HumanEval, AixBench, and MBPP. We adopt a comprehensive methodology encompassing static and dynamic performance analyses to assess the effectiveness of the generated code. Our findings reveal that although the generated code is functionally correct, it frequently exhibits performance regressions compared to code solutions crafted by humans. We further investigate the code-level root causes responsible for these performance regressions. We identify four major root causes, i.e., inefficient function calls, inefficient looping, inefficient algorithm, and inefficient use of language features. We further identify a total of ten sub-categories of root causes attributed to the performance regressions of generated code. Additionally, we explore prompt engineering as a potential strategy for optimizing performance. The outcomes suggest that meticulous prompt designs can enhance the performance of AI-generated code. This research offers valuable insights contributing to a more comprehensive understanding of AI-assisted code generation.","2332-6549","979-8-3503-5388-4","10.1109/ISSRE62328.2024.00030","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771230","Code generation;Software performance;Github Copilot;Program analysis","Privacy;Codes;Large language models;Focusing;Software reliability;Performance analysis;Prompt engineering;Security;Software development management","","2","","63","IEEE","3 Dec 2024","","","IEEE","IEEE Conferences"
"A PBL-Based Mini Course Module for Teaching Computer Science Students to Utilize Generative AI for Enhanced Learning","V. A. Kusam; S. Shrestha; K. Kattan; B. Maxim; Z. Song","Dept. of Computer and Information Science, University of Michigan-Dearborn, MI, USA; Dept. of Computer and Information Science, University of Michigan-Dearborn, MI, USA; Dept. of Computer and Information Science, University of Michigan-Dearborn, MI, USA; Dept. of Computer and Information Science, University of Michigan-Dearborn, MI, USA; Dept. of Computer and Information Science, University of Michigan-Dearborn, MI, USA",2024 IEEE Frontiers in Education Conference (FIE),"26 Feb 2025","2024","","","1","9","This research-to-practice paper introduces a mini-course module designed to teach computer science students how to interact more efficiently with Generative AI(GAI). The rapid rise of GAI is transforming education by providing students with easy access to knowledge and answers to their questions, acting as a personal tutor. Particularly in the field of computer science, where GAI can easily generate code based on specific requirements, many instructors struggle to prevent students from using tools like ChatGPT for completing assigned programming assignments and homeworks. However, we argue that 1) the use of GAI is inevitable, necessitating a redesign of courses so that students cannot merely rely on GAI without actual learning; and 2) students' learning can be enhanced if they learn to use GAI more effectively. In this paper, we demonstrate how we integrate Project-Based Learning to design the course module in a concise yet effective manner, which not only facilitates students' learning of GAI but also enriches their learning in relation to the host course where this mini-course module is embedded. In particular, the goal of this module is to teach CS students: 1) the basic principles and workflow of GAI; 2) Prompt Engineering: how to craft questions to interact more effectively with GAI; and 3) Extending GAI: how to create interactive tools by training customized GAI models. Designed to be completed within two weeks, the mini-course module can easily be incorporated into host courses. This mini-course module was integrated into a graduate-level Artificial Intelligence course with 42 students in Winter 2024. To assess the module's impact on student learning and engagement, we conducted pre- and post-course surveys as well as student interviews. The results from the surveys and interviews highlighted key areas for improving the design of educational modules to better teach essential GAI skills. These insights focused on enhancing student engagement and learning efficiency within a concise time frame.","2377-634X","979-8-3503-5150-7","10.1109/FIE61694.2024.10893118","NSF(grant numbers:2104337); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10893118","Generative AI;Course Module Design;Project Based Learning(PBL)","Surveys;Training;Codes;Navigation;Chatbots;Prompt engineering;Interviews;Programming profession","","","","35","IEEE","26 Feb 2025","","","IEEE","IEEE Conferences"
"CoCoNUT: Structural Code Understanding does not fall out of a tree","C. Beger; S. Dutta","Department of Computer Science, Cornell University, Ithaca, New York; Department of Computer Science, Cornell University, Ithaca, New York",2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),"12 Jun 2025","2025","","","128","136","Large Language Models (LLMs) have shown impressive performance across a wide array of tasks involving both structured and unstructured textual data. More recently, LLMs have demonstrated remarkable abilities to generate code across different programming languages. Recent results on various benchmarks for code generation, repair, or completion suggest that certain models have programming abilities comparable to or even surpass humans. In this work, we demonstrate that the high performance on such benchmarks does not correlate to humans’ innate ability to understand the structural control flow of code.For this purpose, we extract code solutions from the HumanEval benchmark, which the relevant models perform very strongly on, and trace their execution path using function calls sampled from the respective test set. Using this dataset, we investigate the ability of 7 state-of-the-art LLMs to match the execution trace and find that, despite the model’s abilities to generate semantically identical code, they possess only limited ability to trace the execution path, especially for longer traces and specific control structures. We find that even the top-performing model, Gemini 1.5 Pro can only fully correctly generate the trace of 47% of HumanEval tasks.In addition, we introduce a subset for three key structures not, or only contained to a limited extent in HumanEval: Recursion, Parallel Processing, and Object Oriented Programming principles, including concepts like Inheritance and Polymorphism. Besides OOP, we show that none of the investigated models achieve an average accuracy of over 5% on the relevant traces. Aggregating these specialized parts with the ubiquitous HumanEval tasks, we present the Benchmark CoCoNUT: Code Control Flow for Navigation Understanding and Testing, which measures a models ability to trace the execution of code upon relevant calls, including advanced structural components. We conclude that the current generation LLMs still need to significantly improve to enhance their code reasoning abilities. We hope our dataset can help researchers bridge this gap in the near future.","","979-8-3315-2615-3","10.1109/LLM4Code66737.2025.00021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028290","Code Understanding;Large Language Models;Code Execution;Benchmarks","Codes;Navigation;Object oriented modeling;Large language models;Current measurement;Conferences;Benchmark testing;Parallel processing;Maintenance engineering;Object oriented programming","","","","26","IEEE","12 Jun 2025","","","IEEE","IEEE Conferences"
"Genetic Improvement for DNN Security","H. Baxter; Y. Huang; K. Leach","Vanderbilt University, Nashville, USA; Vanderbilt University, Nashville, USA; Vanderbilt University, Nashville, USA",2024 IEEE/ACM International Workshop on Genetic Improvement (GI),"11 Sep 2024","2024","","","11","12","Genetic improvement (GI) in Deep Neural Networks (DNNs) has traditionally enhanced neural architecture and trained DNN parameters. Recently, GI has supported large language models by optimizing DNN operator scheduling on accelerator clusters. However, with the rise of adversarial AI, particularly model extraction attacks, there is an unexplored potential for GI in fortifying Machine Learning as a Service (MLaaS) models. We suggest a novel application of GI — not to improve model performance, but to diversify operator parallelism for the purpose of a moving target defense against model extraction attacks. We discuss an application of GI to create a DNN model defense strategy that uses probabilistic isolation, offering unique benefits not present in current DNN defense systems.","","979-8-4007-0573-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10666382","Computer Security;Genetic Improvement","Large language models;Conferences;Artificial neural networks;Machine learning;Computer architecture;Parallel processing;Genetics","","","","11","","11 Sep 2024","","","IEEE","IEEE Conferences"
"Design and Implementation of an AI-Driven Mental Health Chatbot: A Generative AI Model","D. Gupta; V. Swami; D. Shukla; K. Nimala","Department of Networking and Communications, School of Computing, SRM Institute of Science and Technology, Chennai; Department of Networking and Communications, School of Computing, SRM Institute of Science and Technology, Chennai; Department of Networking and Communications, School of Computing, SRM Institute of Science and Technology, Chennai; Department of Networking and Communications, School of Computing, SRM Institute of Science and Technology, Chennai","2024 International Conference on Innovative Computing, Intelligent Communication and Smart Electrical Systems (ICSES)","12 Mar 2025","2024","","","1","7","This paper describes the development, design, and maturation of an AI-based mental health chatbot that allows a user to engage with more accessible, higher forms of mental health assistance. As developed as a retrieval-based system which leveraged predefined responses contained in a database and based upon input received from a user, it matured into a far more scalable system which included the generative AI capabilities that allowed users to achieve far more personalized, contextually relevant interactions. This deployment variant robustly leverages on the chaining framework provided by LangChain to enable chaining of prompt templates, utilizes the OllamaLLM model that uses the Llama3 language model, and fully exploits other NLP methods. Therefore, the rule-based system is migrated to a generative model that integrates both algorithms of machine learning for effective enhancement of both understanding and generating. The primary issues with this development were about the conversational context, empathetic and coherent response, and the scalability of the system. All these were achieved through advanced prompt engineering, a set of rigorous evaluation metrics like BLEU score, accuracy, precision, recall, and F1 score besides continuous user feedback for refining the performance of this model. This paper discusses methodologies to overcome the challenges and implications for the future of AI and mental health care with an emphasis on embedding technological advancements within empathetic human-computer interaction. The findings point out this chatbot is effective in providing emotional support and how AI is changing its role to improve the services of mental health.","","979-8-3315-4362-4","10.1109/ICSES63760.2024.10910363","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10910363","Mental Health;Chathot;AI;NLP;Generative AI;Machine Learning","Measurement;Machine learning algorithms;Databases;Scalability;Refining;Mental health;Machine learning;Chatbots;Depression;Prompt engineering","","","","12","IEEE","12 Mar 2025","","","IEEE","IEEE Conferences"
"Dynamic Resource Task Negotiation to Enable Product Agent Exploration in Multi-Agent Manufacturing Systems","I. Kovalenko; D. Ryashentseva; B. Vogel-Heuser; D. Tilbury; K. Barton","Mechanical Engineering Department, University of Michigan, Ann Arbor, MI, USA; Institute of Automation and Information Systems, Technical University of Munich, Garching, Germany; Institute of Automation and Information Systems, Technical University of Munich, Garching, Germany; Mechanical Engineering Department, University of Michigan, Ann Arbor, MI, USA; Mechanical Engineering Department, University of Michigan, Ann Arbor, MI, USA",IEEE Robotics and Automation Letters,"24 Jun 2019","2019","4","3","2854","2861","Distributed multi-agent control has been proposed to improve the flexibility of manufacturing systems. Two important components of this control strategy are product agents, representing physical parts in the system, and resource agents, representing the system resources. Product agents request actions from resource agents to guide physical parts through the manufacturing system. Before requesting specific actions, a product agent must effectively communicate with the system's resource agents to understand the capabilities of the resources on the plant floor. In this letter, an approach to product agent exploration based on a network of resource agents is described and analyzed. In addition, results and insights from an implementation of the proposed exploration methodology in a manufacturing system are presented.","2377-3766","","10.1109/LRA.2019.2921947","National Science Foundation; Bayerische Forschungsstiftung Scholarship; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8733849","Agent-based systems;intelligent and flexible manufacturing;autonomous agents","Manufacturing systems;Task analysis;Autonomous agents;Dynamic scheduling;Computer architecture;Complexity theory","","31","","24","IEEE","10 Jun 2019","","","IEEE","IEEE Journals"
"Efficient Game-Theoretic Planning With Prediction Heuristic for Socially-Compliant Autonomous Driving","C. Li; T. Trinh; L. Wang; C. Liu; M. Tomizuka; W. Zhan","Department of Mechanical Engineering, University of California, Berkeley, CA, USA; Department of Mechanical Engineering, University of California, Berkeley, CA, USA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Robotics Institute, Carnegie Mellon University, Pittsburgh, PA, USA; Department of Mechanical Engineering, University of California, Berkeley, CA, USA; Department of Mechanical Engineering, University of California, Berkeley, CA, USA",IEEE Robotics and Automation Letters,"2 Aug 2022","2022","7","4","10248","10255","Planning under social interactions with other agents is an essential problem for autonomous driving. As the actions of the autonomous vehicle in the interactions affect and are also affected by other agents, autonomous vehicles need to efficiently infer the reaction of the other agents. Most existing approaches formulate the problem as a generalized Nash equilibrium problem solved by optimization-based methods. However, they demand too much computational resource and easily fall into the local minimum due to the non-convexity. Monte Carlo Tree Search (MCTS) successfully tackles such issues in game-theoretic problems. However, as the interaction game tree grows exponentially, the general MCTS still requires a huge amount of iterations to reach the optima. In this letter, we introduce an efficient game-theoretic trajectory planning algorithm based on general MCTS by incorporating a prediction algorithm as a heuristic. On top of it, a social-compliant reward and a Bayesian inference algorithm are designed to generate diverse driving behaviors and identify the other driver's driving preference. Results demonstrate the effectiveness of the proposed framework with datasets containing naturalistic driving behavior in highly interactive scenarios.","2377-3766","","10.1109/LRA.2022.3191241","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9830854","Agent-based systems;autonomous agents;intelligent transportation systems","Behavioral sciences;Prediction algorithms;Planning;Autonomous vehicles;Trajectory;Games;Search problems","","16","","28","IEEE","15 Jul 2022","","","IEEE","IEEE Journals"
"Decoding Secret Memorization in Code LLMs Through Token-Level Characterization","Y. Nie; C. Wang; K. Wang; G. Xu; G. Xu; H. Wang","Beijing University of Posts and Telecommunications, Beijing, China; Nanyang Technological University, Singapore, Singapore; Huazhong University of Science and Technology, Wuhan, China; Harbin Institute of Technology, Shenzhen, China; Beijing University of Posts and Telecommunications, Beijing, China; Huazhong University of Science and Technology, Wuhan, China",2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),"23 Jun 2025","2025","","","2880","2892","Code Large Language Models (LLMs) have demonstrated remarkable capabilities in generating, understanding, and manipulating programming code. However, their training process inadvertently leads to the memorization of sensitive information, posing severe privacy risks. Existing studies on memorization in LLMs primarily rely on prompt engineering techniques, which suffer from limitations such as widespread hallucination and inefficient extraction of the target sensitive information. In this paper, we present a novel approach to characterize real and fake secrets generated by Code LLMs based on token probabilities. We identify four key characteristics that differentiate genuine secrets from hallucinated ones, providing insights into distinguishing real and fake secrets. To overcome the limitations of existing works, we propose DeSec,a two-stage method that leverages token-level features derived from the identified characteristics to guide the token decoding process. DeSec consists of constructing an offline token scoring model using a proxy Code LLM and employing the scoring model to guide the decoding process by reassigning token likelihoods. Through extensive experiments on four state-of-the-art Code LLMs using a diverse dataset, we demonstrate the superior performance of DeSec in achieving a higher plausible rate and extracting more real secrets compared to existing baselines. Our findings highlight the effectiveness of our token-level approach in enabling an extensive assessment of the privacy leakage risks associated with Code LLMs.","1558-1225","979-8-3315-0569-1","10.1109/ICSE55347.2025.00229","National Key Research and Development Program of China(grant numbers:2021YFB3101500); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029894","","Training;Privacy;Data privacy;Codes;Large language models;Programming;Feature extraction;Decoding;Prompt engineering;Software engineering","","","","60","IEEE","23 Jun 2025","","","IEEE","IEEE Conferences"
"Multimodal Retrieval Augmented Generation Evaluation Benchmark","T. Sun; A. Somalwar; H. Chan","EduBeyond, British Columbia, Canada; UC Berkeley, California, USA; EduBeyond, British Columbia, Canada",2024 IEEE 99th Vehicular Technology Conference (VTC2024-Spring),"25 Sep 2024","2024","","","1","5","While advances in prompt engineering and RAG have improved LLM proficiency in field-specific, specialized tasks, there has yet to be an industry standard or accepted evaluation metric of the highly fragmented RAG solutions that are currently being deployed. Thus, in this work, we focused on building a robust LLM and RAG evaluation platform. We contribute 1) a platform that evaluates an RAG system's performance on a multimodal input context for LLM question answering and 2) MRAFE: Multimodal Retrieval Augmented Feature Extractor, which processes information from the input to our platform. Through various automated and systematic hand testing, we find that our evaluation benchmarks are useful in determining noise robustness, negative rejection, information integration, and counterfactual rejection. Such a platform would serve as a useful tool for developers iterating on retrieval systems and regulatory bodies creating AI-focused governance alike.","2577-2465","979-8-3503-8741-4","10.1109/VTC2024-Spring62846.2024.10683437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10683437","Artificial Intelligence;Machine Learning;Large Language Models;Retrieval Augmented Generation","Measurement;Industries;System performance;Benchmark testing;Feature extraction;Question answering (information retrieval);Noise robustness","","1","","39","IEEE","25 Sep 2024","","","IEEE","IEEE Conferences"
